subject,age,gender,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,include_exclude_bfi,mean_a,mean_c,mean_e,mean_n,mean_o,include_exclude_bfi_mean,check_mean_a,check_mean_c,check_mean_e,check_mean_n,check_mean_o,mean1,mean2,SD,D,D_check,include_exclude_iat,exclude_duplicate_data,exclude_participant
287257,21,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,3,6,4,5,5,5,6,4,5,5,5,5,3,5,4,3,5,5,3,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,5,4.75,3.75,NA,include,NA,Valid,Valid,Valid,NA,741.325,672.2875,281.8928695727623,-0.244906868714464,within range,include,include,include
289486,56,female,5,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,5,4,5,2,4,6,include,5.888888888888889,NA,NA,NA,4.4,include,Valid,NA,NA,NA,Valid,679.4,616.0625,237.12797177895314,-0.2671026092992613,within range,include,include,include
289105,32,male,2,4,4,4,3,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,5,5,5,5,4,5,5,include,3.7777777777777777,NA,NA,NA,5,include,Valid,NA,NA,NA,Valid,1035.85,794.325,583.2235302819236,-0.41412080867733414,within range,include,include,include
291619,22,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,3,6,4,NA,4,3,6,2,4,5,3,4,3,5,1,3,3,6,3,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,4,4,3.125,NA,exclude,NA,Valid,Valid,Valid,NA,836.125,745.725,387.1099402137911,-0.23352539061661481,within range,include,include,exclude
293517,21,female,3,3,4,4,6,3,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,3,4,5,include,4,NA,NA,NA,4.5,include,Valid,NA,NA,NA,Valid,1273.35,1145.7625,433.347520910818,-0.29442305273105995,within range,include,include,include
296088,49,male,6,5,4,6,6,3,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,4,1,5,4,4,6,4,include,5.222222222222222,NA,NA,NA,4.2,include,Valid,NA,NA,NA,Valid,878.275,808.675,260.2744370141355,-0.2674100491713677,within range,include,include,include
310835,30,male,2,3,3,3,2,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,4,3,5,1,5,6,6,include,2.7777777777777777,NA,NA,NA,4.3,include,Valid,NA,NA,NA,Valid,1299.625,904.35,686.8732565169554,-0.5754700685311114,within range,include,include,include
310981,52,male,4,6,5,5,6,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,6,6,5,4,2,6,5,include,4.777777777777778,NA,NA,NA,4.7,include,Valid,NA,NA,NA,Valid,1775.3,1075.75,1006.9907056336185,-0.6946936015261722,within range,include,include,include
311817,48,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,3,6,6,5,6,6,5,2,6,5,5,6,6,5,1,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,5.333333333333333,5,1.25,NA,include,NA,Valid,Valid,Valid,NA,979.55,806.275,403.43610145248783,-0.42949800321825277,within range,include,include,include
316021,34,male,3,6,6,6,5,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,6,5,6,2,6,6,1,include,4.222222222222222,NA,NA,NA,4.5,include,Valid,NA,NA,NA,Valid,691.125,654.9875,229.03215925277567,-0.1577835187770125,within range,include,include,include
314655,19,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,6,2,5,3,5,5,3,6,2,4,1,2,5,4,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,5.444444444444445,4.125,3.125,NA,include,NA,Valid,Valid,Valid,NA,891.025,714.175,349.3762403955672,-0.5061878271967456,within range,include,include,include
